rule,llm,question,seniority,participant,file,line,message,effort,severity,type
S1210,GEMINI,SEQUENCE_COMPARISON,PLENO,6,Fraction.cs,11,"When implementing IComparable<T>, you should also override Equals, ==, !=, <, <=, >, and >=.",15min,MINOR,CODE_SMELL
S1128,GEMINI,SEQUENCE_COMPARISON,SENIOR,4,Program.cs,1,Remove this unnecessary 'using'.,1min,MINOR,CODE_SMELL
S1128,GEMINI,SEQUENCE_COMPARISON,SENIOR,4,Program.cs,3,Remove this unnecessary 'using'.,1min,MINOR,CODE_SMELL
S1118,CLAUDE,ARRAY_DIFFERENCE,JUNIOR,7,ClaudeArrayDifferenceJuniorParticipant7.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL
S1118,CLAUDE,ARRAY_DIFFERENCE,PLENO,6,ClaudeArrayDifferencePlenoParticipant6.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL
S1118,CLAUDE,ARRAY_DIFFERENCE,SENIOR,1,ClaudeArrayDifferenceSeniorParticipant1.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL
S1118,CLAUDE,ARRAY_DIFFERENCE,SENIOR,3,ClaudeArrayDifferenceSeniorParticipant3.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL
S1118,CLAUDE,ARRAY_DIFFERENCE,SENIOR,4,ClaudeArrayDifferenceSeniorParticipant4.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL
S1118,CLAUDE,ARRAY_DIFFERENCE,SENIOR,5,ClaudeArrayDifferenceSeniorParticipant5.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL
S1118,DEEPSEEK,ARRAY_DIFFERENCE,SENIOR,3,DeepseekArrayDifferenceSeniorParticipant3.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL
S1118,DEEPSEEK,ARRAY_DIFFERENCE,SENIOR,4,DeepseekArrayDifferenceSeniorParticipant4.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL
S1118,DEEPSEEK,ARRAY_DIFFERENCE,SENIOR,5,DeepseekArrayDifferenceSeniorParticipant5.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL
S1118,GPT,ARRAY_DIFFERENCE,PLENO,6,GptArrayDifferencePlenoParticipant6.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL
S1118,GPT,ARRAY_DIFFERENCE,SENIOR,1,GptArrayDifferenceSeniorParticipant1.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL
S1118,GPT,ARRAY_DIFFERENCE,SENIOR,3,GptArrayDifferenceSeniorParticipant3.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL
S1118,GPT,ARRAY_DIFFERENCE,SENIOR,5,GptArrayDifferenceSeniorParticipant5.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL
S1118,GPT,ARRAY_DIFFERENCE,SENIOR,2,Program.cs,6,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL
S1128,GPT,ARRAY_DIFFERENCE,SENIOR,4,ArrayUtils.cs,1,Remove this unnecessary 'using'.,1min,MINOR,CODE_SMELL
