llm,question,participant,codebleu,ngram_match,weighted_ngram_match,ast_match,dataflow_match
CLAUDE,ArrayDifference,1,0.104239194,0.000869343,0.012383729,0.348148148,0.055555556
CLAUDE,ArrayDifference,2,0.356371334,0.000848895,0.002414219,0.422222222,0
CLAUDE,ArrayDifference,3,0.188886652,0.033223936,0.15658193,0.440740741,0.125
CLAUDE,ArrayDifference,4,0.114176772,0.000181164,0.049118515,0.351851852,0.055555556
CLAUDE,ArrayDifference,5,0.166183277,0.019593791,0.09421339,0.425925926,0.125
CLAUDE,ArrayDifference,6,0.176087753,0.023970687,0.114639583,0.440740741,0.125
CLAUDE,ArrayDifference,7,0.169919979,0.031583602,0.064762981,0.444444444,0.138888889
DEEPSEEK,ArrayDifference,1,0.256290186,0.050326534,0.053537913,0.518518519,0.402777778
DEEPSEEK,ArrayDifference,2,0.341396669,0.003445087,0.006586033,0.355555556,0
DEEPSEEK,ArrayDifference,3,0.188886652,0.033223936,0.15658193,0.440740741,0.125
DEEPSEEK,ArrayDifference,4,0.188886652,0.033223936,0.15658193,0.440740741,0.125
DEEPSEEK,ArrayDifference,5,0.164840004,0.016042519,0.077576755,0.440740741,0.125
DEEPSEEK,ArrayDifference,6,0.201347356,0.092495658,0.110115989,0.477777778,0.125
DEEPSEEK,ArrayDifference,7,0.34539914,0.061672164,0.115294767,0.551851852,0.652777778
GEMINI,ArrayDifference,1,0.130690471,0.008351959,0.014409927,0.444444444,0.055555556
GEMINI,ArrayDifference,2,0.265526425,0.09794922,0.101193515,0.52962963,0.333333333
GEMINI,ArrayDifference,3,0.197116732,0.059387572,0.149449728,0.440740741,0.138888889
GEMINI,ArrayDifference,4,0.113126089,0.000058,0.048742101,0.348148148,0.055555556
GEMINI,ArrayDifference,5,0.113126089,0.000058,0.048742101,0.348148148,0.055555556
GEMINI,ArrayDifference,6,0.139936039,0.022087395,0.037656761,0.444444444,0.055555556
GEMINI,ArrayDifference,7,0.183050403,0.061961284,0.070240326,0.433333333,0.166666667
GPT,ArrayDifference,1,0.130827328,0.002391502,0.013510404,0.396296296,0.111111111
GPT,ArrayDifference,2,0.199174896,0.007024251,0.008193851,0.503703704,0.277777778
GPT,ArrayDifference,3,0.161983386,0.013708398,0.079595517,0.42962963,0.125
GPT,ArrayDifference,4,0.119711289,0.001241214,0.055381719,0.366666667,0.055555556
GPT,ArrayDifference,5,0.175891478,0.029278372,0.079843095,0.455555556,0.138888889
GPT,ArrayDifference,6,0.155824919,0.01227583,0.060097921,0.425925926,0.125
GPT,ArrayDifference,7,0.171899501,0.021788567,0.096364992,0.444444444,0.125
CLAUDE,SequenceComparison,1,0.26262842,0.056248828,0.102357558,0.508928571,0.382978723
CLAUDE,SequenceComparison,2,0.290481227,0.155501501,0.158855016,0.507142857,0.340425532
CLAUDE,SequenceComparison,3,,,,,
CLAUDE,SequenceComparison,4,0.358022111,0.248482245,0.259518055,0.546428571,0.377659574
CLAUDE,SequenceComparison,5,0.306030855,0.151423718,0.159401832,0.525,0.388297872
CLAUDE,SequenceComparison,6,0.341230616,0.233280124,0.241368784,0.528571429,0.361702128
CLAUDE,SequenceComparison,7,0.359719372,0.176792011,0.229372711,0.6125,0.420212766
DEEPSEEK,SequenceComparison,1,0.260601557,0.074330606,0.120317262,0.533928571,0.313829787
DEEPSEEK,SequenceComparison,2,0.278296945,0.177215476,0.185934309,0.505357143,0.244680851
DEEPSEEK,SequenceComparison,3,,,,,
DEEPSEEK,SequenceComparison,4,0.344316495,0.195266996,0.201185915,0.544642857,0.436170213
DEEPSEEK,SequenceComparison,5,0.305261322,0.151037851,0.158533272,0.517857143,0.393617021
DEEPSEEK,SequenceComparison,6,0.288371724,0.183600168,0.191695239,0.475,0.303191489
DEEPSEEK,SequenceComparison,7,0.345598522,0.158222503,0.238115355,0.533928571,0.45212766
GEMINI,SequenceComparison,1,0.266160501,0.076798243,0.108170509,0.533928571,0.345744681
GEMINI,SequenceComparison,2,0.272186758,0.156872618,0.162307544,0.508928571,0.260638298
GEMINI,SequenceComparison,3,0.247241461,0.118342314,0.129514109,0.496428571,0.244680851
GEMINI,SequenceComparison,4,0.257892351,0.114310623,0.117638719,0.496428571,0.303191489
GEMINI,SequenceComparison,5,0.29813271,0.163374733,0.183259449,0.521428571,0.324468085
GEMINI,SequenceComparison,6,0.294223277,0.136020454,0.193152288,0.528571429,0.319148936
GEMINI,SequenceComparison,7,0.304393608,0.123831106,0.160840589,0.539285714,0.393617021
GPT,SequenceComparison,1,0.265920317,0.073768388,0.099715312,0.517857143,0.372340426
GPT,SequenceComparison,2,0.283986338,0.149771567,0.161553725,0.521428571,0.303191489
GPT,SequenceComparison,3,0.225698277,0.081709334,0.101364927,0.480357143,0.239361702
GPT,SequenceComparison,4,0.290304172,0.130034147,0.144290442,0.551785714,0.335106383
GPT,SequenceComparison,5,0.301701308,0.108254885,0.142623297,0.535714286,0.420212766
GPT,SequenceComparison,6,0.309379692,0.157764293,0.157764293,0.542857143,0.377659574
GPT,SequenceComparison,7,0.291113398,0.101374931,0.130365894,0.5125,0.420212766
CLAUDE,StringArrayEncoding,1,0.248242167,0.153639517,0.273270778,0.405523256,0.160535117
CLAUDE,StringArrayEncoding,2,0.253114101,0.209692538,0.25822587,0.404069767,0.140468227
CLAUDE,StringArrayEncoding,3,0.176874226,0.063146507,0.153732447,0.340116279,0.150501672
CLAUDE,StringArrayEncoding,4,0.217130838,0.104427336,0.228137979,0.405523256,0.130434783
CLAUDE,StringArrayEncoding,5,0.23802042,0.118592898,0.143247086,0.402616279,0.287625418
CLAUDE,StringArrayEncoding,6,0.218901566,0.110002535,0.231381126,0.38372093,0.150501672
CLAUDE,StringArrayEncoding,7,0.252612076,0.150726406,0.232884377,0.412790698,0.214046823
DEEPSEEK,StringArrayEncoding,1,0.199504953,0.141110058,0.258017127,0.271802326,0.127090301
DEEPSEEK,StringArrayEncoding,2,0.246910257,0.212554224,0.264713076,0.386627907,0.123745819
DEEPSEEK,StringArrayEncoding,3,0.185142076,0.062272051,0.152216104,0.382267442,0.143812709
