rule,category,application,rule_description,llm,question,seniority,participant,file,line,message,effort,severity,type,status,component
S1210,Estrutura,Responsabilidades únicas e claras,"Equals and the comparison operators should be overridden when implementing ""IComparable""",GEMINI,SEQUENCE_COMPARISON,PLENO,6,Fraction.cs,11,"When implementing IComparable<T>, you should also override Equals, ==, !=, <, <=, >, and >=.",15min,MINOR,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.PLENO.PARTICIPANT_6/Fraction.cs
S1128,Legibilidade,Identação e formatação consistentes,"Unnecessary ""using"" should be removed",GEMINI,SEQUENCE_COMPARISON,SENIOR,4,Program.cs,1,Remove this unnecessary 'using'.,1min,MINOR,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_4/Program.cs
S1128,Legibilidade,Identação e formatação consistentes,"Unnecessary ""using"" should be removed",GEMINI,SEQUENCE_COMPARISON,SENIOR,4,Program.cs,3,Remove this unnecessary 'using'.,1min,MINOR,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_4/Program.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,CLAUDE,ARRAY_DIFFERENCE,JUNIOR,7,ClaudeArrayDifferenceJuniorParticipant7.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:CLAUDE.ARRAY_DIFFERENCE.JUNIOR.PARTICIPANT_7/ClaudeArrayDifferenceJuniorParticipant7.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,CLAUDE,ARRAY_DIFFERENCE,JUNIOR,7,ClaudeArrayDifferenceJuniorParticipant7.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:CLAUDE.ARRAY_DIFFERENCE.JUNIOR.PARTICIPANT_7/ClaudeArrayDifferenceJuniorParticipant7.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,CLAUDE,ARRAY_DIFFERENCE,PLENO,6,ClaudeArrayDifferencePlenoParticipant6.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:CLAUDE.ARRAY_DIFFERENCE.PLENO.PARTICIPANT_6/ClaudeArrayDifferencePlenoParticipant6.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,CLAUDE,ARRAY_DIFFERENCE,PLENO,6,ClaudeArrayDifferencePlenoParticipant6.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:CLAUDE.ARRAY_DIFFERENCE.PLENO.PARTICIPANT_6/ClaudeArrayDifferencePlenoParticipant6.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,CLAUDE,ARRAY_DIFFERENCE,SENIOR,1,ClaudeArrayDifferenceSeniorParticipant1.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:CLAUDE.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_1/ClaudeArrayDifferenceSeniorParticipant1.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,CLAUDE,ARRAY_DIFFERENCE,SENIOR,1,ClaudeArrayDifferenceSeniorParticipant1.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:CLAUDE.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_1/ClaudeArrayDifferenceSeniorParticipant1.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,CLAUDE,ARRAY_DIFFERENCE,SENIOR,3,ClaudeArrayDifferenceSeniorParticipant3.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:CLAUDE.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_3/ClaudeArrayDifferenceSeniorParticipant3.cs
